Line #,Navigation Direction,Padding,x,y,z,z_Relative,mpry0,mpry1,mpry2,pitch,roll,yaw,vgx,vgy,vgz,templ,emph,tof,h,bat,baro,time,agx,agy,agz
44,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 78,0,0,  0,  0,  -6,  0,  0,  0,  60,  62,  78,  40,  100,  1881.7,  10,  -4.0,  -14.0,  -995.0
45,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.65,  10,  2.0,  -18.0,  -984.0
46,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.7,  10,  -4.0,  -24.0,  -982.0
47,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.7,  11,  5.0,  -25.0,  -993.0
48,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.66,  11,  6.0,  14.0,  -1000.0
49,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 80,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  80,  40,  100,  1881.77,  11,  3.0,  -8.0,  -994.0
50,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 80,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  80,  40,  100,  1881.74,  11,  3.0,  -17.0,  -1005.0
51,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.66,  11,  2.0,  10.0,  -1005.0
52,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.71,  11,  8.0,  0.0,  -1008.0
53,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.68,  11,  9.0,  3.0,  -992.0
54,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.73,  12,  13.0,  -8.0,  -1003.0
55,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.61,  12,  6.0,  -9.0,  -996.0
56,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.72,  12,  0.0,  8.0,  -1011.0
57,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -7,  0,  0,  0,  60,  63,  79,  40,  100,  1881.71,  12,  -6.0,  -11.0,  -1009.0
58,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.66,  12,  11.0,  8.0,  -998.0
59,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.63,  12,  5.0,  -18.0,  -995.0
60,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.74,  12,  9.0,  -7.0,  -990.0
61,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.71,  12,  3.0,  -6.0,  -1012.0
62,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.66,  13,  13.0,  -5.0,  -1017.0
63,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 78,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  78,  40,  100,  1881.65,  13,  0.0,  -21.0,  -1000.0
64,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 78,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  78,  40,  100,  1881.7,  13,  19.0,  -6.0,  -1009.0
65,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.6,  13,  21.0,  -15.0,  -1000.0
66,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.57,  13,  9.0,  -22.0,  -987.0
67,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.56,  13,  2.0,  -16.0,  -998.0
68,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.61,  13,  -10.0,  -24.0,  -993.0
69,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.65,  14,  15.0,  0.0,  -1001.0
70,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.67,  14,  0.0,  -1.0,  -992.0
71,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 80,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  80,  40,  100,  1881.64,  14,  0.0,  -7.0,  -1006.0
72,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 80,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  80,  40,  100,  1881.65,  14,  0.0,  -13.0,  -1004.0
73,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 80,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  80,  40,  100,  1881.67,  14,  -6.0,  -15.0,  -998.0
74,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  61,  63,  79,  40,  100,  1881.64,  14,  11.0,  -4.0,  -1000.0
75,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 80,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  80,  40,  100,  1881.61,  14,  -1.0,  -20.0,  -996.0
76,[0 0 0 0 0 0 0 0],        ,0, 0, 40, 80,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  80,  40,  100,  1881.64,  15,  -10.0,  -15.0,  -997.0
77,[0 0 Foward 0 0 0 0 0],        ,0, 0, 40, 80,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  80,  40,  100,  1881.65,  15,  -12.0,  -13.0,  -997.0
78,[0 0 Foward 0 0 0 0 0],        ,0, 1, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.63,  15,  -11.0,  -9.0,  -984.0
79,[0 0 Foward 0 0 0 0 0],        ,0, 2, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.59,  15,  -10.0,  -5.0,  -986.0
80,[0 0 Foward 0 0 0 0 0],        ,0, 3, 40, 79,0,0,  0,  0,  -6,  0,  0,  0,  60,  63,  79,  40,  100,  1881.56,  15,  -14.0,  -5.0,  -1004.0
81,[0 0 Foward 0 0 0 0 0],        ,0, 4, 40, 78,0,0,  -1,  0,  -7,  0,  0,  0,  60,  63,  78,  40,  100,  1881.71,  15,  -25.0,  0.0,  -998.0
82,[0 0 Foward 0 0 0 0 0],        ,0, 5, 40, 78,0,0,  -1,  0,  -7,  0,  0,  0,  62,  63,  78,  40,  100,  1881.59,  15,  -7.0,  -1.0,  -996.0
83,[0 0 Foward 0 0 0 0 0],        ,0, 6, 40, 77,0,0,  -1,  0,  -7,  0,  0,  0,  62,  63,  77,  40,  100,  1881.61,  15,  -4.0,  2.0,  -998.0
84,[0 0 Foward 0 0 0 0 0],        ,0, 7, 40, 77,0,0,  -1,  0,  -6,  0,  0,  0,  62,  63,  77,  40,  100,  1881.63,  16,  -4.0,  20.0,  -1021.0
85,[0 0 Foward 0 0 0 0 0],        ,0, 8, 40, 77,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  77,  40,  100,  1881.57,  16,  -6.0,  -2.0,  -995.0
86,[0 0 Foward 0 0 0 0 0],        ,0, 9, 40, 76,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  76,  40,  100,  1881.52,  16,  -28.0,  -22.0,  -1010.0
87,[0 0 Foward 0 0 0 0 0],        ,0, 10, 40, 76,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  76,  40,  100,  1881.55,  16,  -28.0,  -28.0,  -1003.0
88,[0 0 Foward 0 0 0 0 0],        ,0, 11, 40, 77,0,0,  -1,  1,  -6,  -1,  0,  0,  62,  63,  77,  40,  100,  1881.57,  16,  -27.0,  -26.0,  -1018.0
89,[0 0 Foward 0 0 0 0 0],        ,0, 12, 40, 77,0,0,  -1,  1,  -6,  -1,  0,  0,  62,  63,  77,  40,  100,  1881.5,  16,  -29.0,  -26.0,  -1009.0
90,[0 0 Foward 0 0 0 0 0],        ,0, 13, 40, 77,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  77,  40,  100,  1881.52,  16,  -13.0,  -20.0,  -1003.0
91,[0 0 Foward 0 0 0 0 0],        ,0, 14, 40, 77,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  77,  40,  100,  1881.48,  17,  -14.0,  -3.0,  -1012.0
92,[0 0 Foward 0 0 0 0 0],        ,0, 15, 40, 78,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  78,  40,  100,  1881.6,  17,  -12.0,  -5.0,  -1000.0
93,[0 0 Foward 0 0 0 0 0],        ,0, 16, 40, 78,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  78,  40,  100,  1881.61,  17,  -22.0,  -15.0,  -997.0
94,[0 0 Foward 0 0 0 0 0],        ,0, 17, 40, 78,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  78,  40,  100,  1881.56,  17,  -23.0,  -7.0,  -993.0
95,[0 0 Foward 0 0 0 0 0],        ,0, 18, 40, 78,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  78,  40,  100,  1881.55,  17,  -17.0,  -10.0,  -991.0
96,[0 0 Foward 0 0 0 0 0],        ,0, 19, 40, 79,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  63,  79,  40,  100,  1881.6,  17,  -15.0,  -7.0,  -1002.0
97,[0 0 Foward 0 0 0 0 0],        ,0, 20, 40, 78,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  64,  78,  40,  100,  1881.61,  17,  -24.0,  -19.0,  -982.0
98,[0 0 Foward 0 0 0 0 0],        ,0, 21, 40, 78,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  64,  78,  40,  100,  1881.68,  18,  -22.0,  -1.0,  -1006.0
99,[0 0 Foward 0 0 0 0 0],        ,0, 22, 40, 78,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  64,  78,  40,  100,  1881.62,  18,  -13.0,  -7.0,  -995.0
100,[0 0 Foward 0 0 0 0 0],        ,0, 23, 40, 78,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  64,  78,  40,  100,  1881.61,  18,  -18.0,  -5.0,  -992.0
101,[0 0 Foward 0 0 0 0 0],        ,0, 24, 40, 77,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  64,  77,  40,  100,  1881.56,  18,  -12.0,  -3.0,  -1003.0
102,[0 0 Foward 0 0 0 0 0],        ,0, 25, 40, 77,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  64,  77,  40,  100,  1881.61,  18,  -13.0,  -2.0,  -1002.0
103,[0 0 Foward 0 0 0 0 0],        ,0, 26, 40, 77,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  64,  77,  40,  100,  1881.55,  18,  -25.0,  -2.0,  -1014.0
104,[0 0 Foward 0 0 0 0 0],        ,0, 27, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.52,  18,  -7.0,  -1.0,  -996.0
105,[0 0 Foward 0 0 0 0 0],        ,0, 28, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.57,  19,  -11.0,  -4.0,  -1007.0
106,[0 0 Foward 0 0 0 0 0],        ,0, 29, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.56,  19,  -18.0,  -9.0,  -991.0
107,[0 0 Foward 0 0 0 0 0],        ,0, 30, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.58,  19,  -14.0,  0.0,  -994.0
108,[0 0 Foward 0 0 0 0 0],        ,0, 31, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.63,  19,  -18.0,  12.0,  -997.0
109,[0 0 Foward 0 0 0 0 0],        ,0, 32, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.69,  19,  -13.0,  -5.0,  -993.0
110,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.64,  19,  -9.0,  -8.0,  -1006.0
111,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.65,  19,  -18.0,  -12.0,  -1003.0
112,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.67,  19,  -20.0,  -11.0,  -998.0
113,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.61,  20,  -13.0,  0.0,  -994.0
114,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 76,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  76,  40,  100,  1881.69,  20,  -15.0,  -4.0,  -997.0
115,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 77,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.66,  20,  0.0,  1.0,  -989.0
116,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 76,0,0,  0,  0,  -6,  -1,  0,  0,  62,  65,  76,  40,  100,  1881.67,  20,  -17.0,  5.0,  -1006.0
117,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 76,0,0,  1,  0,  -6,  -1,  0,  0,  62,  65,  76,  40,  100,  1881.67,  20,  -10.0,  5.0,  -1019.0
118,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 76,0,0,  1,  0,  -6,  0,  0,  0,  62,  65,  76,  40,  100,  1881.6,  20,  -13.0,  13.0,  -1009.0
119,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  75,  40,  100,  1881.61,  20,  -9.0,  5.0,  -1002.0
120,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  75,  40,  100,  1881.72,  21,  14.0,  3.0,  -1007.0
121,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  75,  40,  100,  1881.67,  21,  -3.0,  11.0,  -1008.0
122,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  75,  40,  100,  1881.63,  21,  -16.0,  12.0,  -996.0
123,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  75,  40,  100,  1881.61,  21,  1.0,  14.0,  -1001.0
124,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  75,  40,  100,  1881.68,  21,  -4.0,  5.0,  -1012.0
125,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  75,  40,  100,  1881.72,  21,  0.0,  -1.0,  -999.0
126,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  64,  75,  40,  100,  1881.7,  21,  -15.0,  6.0,  -1008.0
127,[0 0 0 0 0 0 0 0],        ,0, 33, 30, 75,0,0,  0,  0,  -6,  0,  0,  0,  62,  64,  75,  30,  100,  1881.67,  22,  10.0,  0.0,  -1003.0
128,[0 0 0 0 0 0 0 0],        ,0, 33, 30, 76,0,0,  0,  0,  -6,  0,  0,  0,  62,  64,  76,  30,  100,  1881.68,  22,  -5.0,  -11.0,  -993.0
129,[0 0 0 0 0 0 0 0],        ,0, 33, 30, 76,0,0,  0,  0,  -6,  0,  0,  0,  62,  64,  76,  30,  100,  1881.74,  22,  -2.0,  0.0,  -1007.0
130,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 76,0,0,  0,  0,  -6,  0,  0,  0,  62,  64,  76,  40,  100,  1881.66,  22,  1.0,  10.0,  -1011.0
131,[0 0 0 0 0 0 0 0],        ,0, 33, 40, 76,0,0,  0,  0,  -6,  0,  0,  0,  62,  64,  76,  40,  100,  1881.76,  22,  4.0,  5.0,  -993.0
132,[0 0 Foward 0 0 0 0 0],        ,0, 34, 40, 77,0,0,  0,  0,  -6,  0,  0,  0,  62,  64,  77,  40,  100,  1881.76,  22,  3.0,  4.0,  -994.0
133,[0 0 Foward 0 0 0 0 0],        ,0, 35, 40, 77,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  77,  40,  100,  1881.72,  22,  4.0,  -1.0,  -989.0
134,[0 0 Foward 0 0 0 0 0],        ,0, 36, 40, 77,0,0,  0,  0,  -6,  0,  0,  0,  62,  65,  77,  40,  100,  1881.77,  23,  7.0,  4.0,  -1004.0
135,[0 0 Foward 0 0 0 0 0],        ,0, 37, 40, 77,0,0,  -1,  0,  -6,  0,  0,  0,  62,  65,  77,  40,  100,  1881.68,  23,  8.0,  18.0,  -1006.0
136,[0 0 Foward 0 0 0 0 0],        ,0, 38, 40, 77,0,0,  -1,  0,  -6,  0,  0,  0,  62,  65,  77,  40,  100,  1881.74,  23,  10.0,  4.0,  -996.0
137,[0 0 Foward 0 0 0 0 0],        ,0, 39, 40, 77,0,0,  -1,  0,  -6,  0,  0,  0,  62,  65,  77,  40,  100,  1881.67,  23,  12.0,  0.0,  -1009.0
138,[0 0 Foward 0 0 0 0 0],        ,0, 40, 40, 77,0,0,  -1,  0,  -6,  0,  0,  0,  62,  65,  77,  40,  100,  1881.72,  23,  1.0,  7.0,  -1009.0
139,[0 0 Foward 0 0 0 0 0],        ,0, 41, 40, 77,0,0,  -1,  0,  -6,  -1,  0,  0,  62,  65,  77,  40,  100,  1881.68,  23,  -5.0,  -1.0,  -1005.0
